,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,shuffle,device
0,1,1,0.5515916272252798,0.7934166666666667,8.544363498687744,11.572932243347168,0.01,100,1,True,cuda
1,1,2,0.38507134864727655,0.8576,8.455310583114624,20.151911735534668,0.01,100,1,True,cuda
2,1,3,0.34997279671331244,0.8719333333333333,8.487561702728271,28.758156061172485,0.01,100,1,True,cuda
3,1,4,0.3410033283382654,0.8739333333333333,8.793668746948242,37.67250204086304,0.01,100,1,True,cuda
4,1,5,0.32994906026870013,0.8798166666666667,8.849605798721313,46.64378261566162,0.01,100,1,True,cuda
5,1,6,0.31813157031933464,0.8823,8.824521780014038,55.587984561920166,0.01,100,1,True,cuda
6,1,7,0.31439190124471983,0.8850666666666667,8.809884786605835,64.51854681968689,0.01,100,1,True,cuda
7,1,8,0.3094497525691986,0.8851166666666667,8.856900930404663,73.49113750457764,0.01,100,1,True,cuda
8,1,9,0.3102625456204017,0.8864166666666666,8.675820350646973,82.28763604164124,0.01,100,1,True,cuda
9,1,10,0.3071428567667802,0.8878166666666667,9.099699020385742,91.50601840019226,0.01,100,1,True,cuda
